brand,name,price,rating,ingredients
Belli,Healthy Glow Facial Hydrator,Online Only,4.2,"Deionized Water, Vitis Vinifera (Grape) Seed Oil, C12-15 Alkyl Benzoate, Sodium PCA, Cetearyl Olivate (and) Sorbitan Olivate, Leuconostoc/Radish Root Ferment Filtrate, Chamomilla Recutita (Matricaria) Flower Extract, Xanthan Gum, Caprylyl Glycol (and) Ethylhexylglycerin, Acanthopanax Senticosus (Eleutherol) Root Extract, Potassium Sorbate, Citrus Nobilis (Mandarin Orange) Peel Oil, Cetearyl Alcohol, Ascorbyl Palmitate."
Garnier,SkinActive Moisture Rescue Refreshing Gel-Cream For Dry Skin,"Sale Price
$6.29
Original Price
$8.99",4.4,"Aqua / Water, Glycerin, Alcohol Denat., Dimethicone, Isononyl Isononanoate, Ascorbyl Glucoside, Biosaccharide Gum-1, Caprylyl Glycol, Carbomer, Chlorphenesin, CI 14700 / Red 4, Dimethiconol, Menthoxypropanediol, Nymphaea Alba Extract / Nymphaea Alba Flower Extract, Panthenol, Phenoxyethanol, Pyrus Malus Water / Apple Fruit Water, Sodium Hydroxide, Sodium Palmitoyl Proline, Tetrasodium Edta, Tocopheryl Acetate, Xanthan Gum, Parfum / Fragrance."
Pacifica,Kale Luxe Oil-Free Cream,"Sale Price
$11.20
Original Price
$16.00",4.5,"Aqua (Purified), Aloe Barbadensis Leaf Juice, Caprylic/Capric Triglyceride, Glyceryl Stearate, Octyl Palmitate, Glycerin, Stearic Acid, Cetyl Alcohol, Stearyl Alcohol, Parfum, Lecithin, Microcitrus Australasica Fruit(Lime Pearls) Extract, Alcohol Denat. (Grain), Brassica Oleracea Acephala Leaf (Kale) Extract, Mixed Tocopherols (Vitamin E), Phenoxyethanol, Ethylhexylglycerin, Parfum (All Natural)."
EVE LOM,Moisture Cream,Online Only,5,"Aqua (Water), Caprylic/Capric Triglyceride, C12-15 Alkyl Benzoate, Propanediol, Glycerin, C12-16 Alcohols, Dimethicone, Sodium Acrylates Crosspolymer-2, Glyceryl Stearate Se, Xylitylglucoside, Betaine, Palmitic Acid, Phenoxyethanol, Anhydroxylitol, Hydrogenated Lecithin, Crambe Abyssinica Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Prunus Persica (Peach) Flower Extract, Marrubium Vulgare Extract, Polyacrylate Crosspolymer-6, Sodium Acetylated Hyaluronate, Xylitol, Ethylhexylglycerin, Tocopheryl Acetate, Citric Acid, Disodium Edta, Lavandula Angustifolia (Lavender) Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Sodium Benzoate, Limonene, Citrus Limon (Lemon) Peel Oil, Coriandrum Sativum (Coriander) Seed Oil, Cymbopogon Nardus (Citronella) Oil, Mentha Piperita (Peppermint) Oil, Citrus Aurantium Amara (Bitter Orange) Peel Oil, Litsea Cubeba Fruit Oil, Mentha Piperita (Peppermint) Leaf Extract, Pelargonium Graveolens Flower Oil, Pogostemon Cablin Leaf Oil, Anthemis Nobilis Flower Oil, Boswellia Carterii Oil, Linalool, Limonene, Citral, Geraniol."
Honest Beauty,Everyday Radiance Moisturizer,Online Only,NA,"Water (Aqua), Glycerin, Raphanus Sativus (Radish) Seed Oil, Dimethicone, Glyceryl Stearate SE, Camellia Sinensis Seed Oil, Jojoba Esters, Cetearyl Alcohol, Maltodextrin, Malpighia Glabra (Acerola) Fruit Extract, Calendula Officinalis Flower Extract, Chamomilla Recutita (Matricaria) Flower Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Lavandula Hybrida Oil, Lavandula Angustifolia (Lavender) Oil, Abies Sibirica Oil, Pogostemon Cablin Leaf Oil, Cymbopogon Martini Oil, Pelargonium Graveolens Flower Oil, Anthemis Nobilis Flower Oil, Sodium Phytate, Alcohol, Phyllanthus Emblica Fruit Extract, Rosa Canina Fruit Extract, Tocopherol, Gluconolactone, Sodium Benzoate, Calcium Gluconate, Cetyl Alcohol, Cetearyl Glucoside, Opuntia Ficus-Indica Extract, Potassium Sorbate, Hydrolyzed Hyaluronic Acid, Xanthan Gum, Ethylhexylglycerin, Glycyrrhiza Glabra (Licorice) Root Extract, Citronellol, Geraniol, Limonene, Linalool."
bareMinerals,SKINLONGEVITY Vital Power Moisturizer SPF 30,"Price
$38.00",3,"Water, C9-12 Alkane, Dimethicone, Propanediol, Glycerin, PEG-32, PEG-6, Polyglyceryl-4 Laurate/Succinate, Polysorbate 60, Peucedanum Japonicum Leaf/Stem Extract, Paeonia Lactiflora Root Extract, Coffea Arabica (Coffee) Seed Oil, Decyl Isostearate, Coco-Caprylate/Caprate, Isohexadecane, Isostearyl Isostearate, Aminopropyl Dimethicone, Cetyl Stearate, Succinoglycan, Caprylyl Glycol, Tocopherol, Dimethylacrylamide/Sodium Acryloyldimethyltaurate Crosspolymer, Polyacrylate Crosspolymer-6, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sodium Methyl Stearoyl Taurate, Potassium Cetyl Phosphate, Sorbitan Sesquiisostearate, Polysorbate 80, Stearic Acid, Sorbitan Oleate, Decyl Glucoside, Isostearic Acid, Hexylene Glycol, T-Butyl Alcohol, Butylene Glycol, Polysilicone-11, Hydrogen Dimethicone, Silica, Sodium Citrate, Triethoxycaprylylsilane, Aluminum Hydroxide, Alcohol, Disodium EDTA, Trehalose, Potassium Sorbate, Citric Acid, VP/Eicosene Copolymer, Cetyl Alcohol, Cellulose Gum, Fragrance, Geraniol, Linalool, Limonene, Citral, Sodium Benzoate, Phenoxyethanol. May Contain: Mica, Titanium Dioxide."
INDIE LEE,Daily Skin Nutrition,Online Only,4.8,"Water (Aqua/Eau), Squalane, Persea Gratissima (Avocado) Oil, Propanediol, Cetearyl Olivate, Cocos Nucifera (Coconut) Oil, Sorbitan Olivate, Hydrogenated Olive Oil, Hydrogenated Olive Oil Unsaponifiables, Olea Europea (Olive) Oil Unsaponifiables, Rosa Rubiginosa Seed Oil, Sodium Hyaluronate, Ascorbyl Palmitate, Tocopheryl Acetate, Rosmarinus Officinalis (Rosemary) Leaf Extract, Carrageenan, Gluconolactone, Sodium Benzoate, Calcium Gluconate, Xanthan Gum."
ULTA,Daily Moisturizer Sunscreen SPF 30,"Sale Price
$13.65
Original Price
$19.50",5,NA
Ahava,Extreme Day Cream,"Sale Price
$56.25
Original Price
$75.00",4,"Aqua(Mineral Spring Water), Sodium Hyaluronate,Water, Ceteth- 20, Glyceryl Stearate,Steareth-25,Stearyl Alcohol, Dimethicone, Dimeethicone Crosspolymer, Ethylhexyl Palmitate, Squalene (Phytosqualene), Vitis Viniferz (Grape) Seed Oil, Cetearyl Olivate,Sorbitan Olivate, Glycerin, Erythirol,Homarine Hcl, Caprylic Capric Triglyceride,Tepreone, Cetyl Palmitate, Sorbitan Palmitate, Ceratonia Siliqua Gym, Butylene Glycol,Palmitoyl, Oligopeptide,Palmitoyl Tetrapeptide-3,Polysorbate-20,Carbomer, Tocopherol(Vitamin E),Hypericum Perforatum Flower/Leaf/Stem Extract,Olea Europaea (Olive) Fruit Oil, Cetraria Islandica Extract, Ceryl Alcohol, Dimethicone, Panthenol (Pro Vitamin B5), Disodium Lauriminodiproponate Tocopheryl Phospates, Phenoxyethanol,Pichia\Resveratrol Ferment Extract, Phenoxyethanol, Ethylhexylglycerin, Maris Sal (Dead Sea Water), Rosa Centifolia Flower Extract, Lycium Barbarum Fruit Extract, Stearyl Alcohol, Rubus Ellipiticus Root Extract, Boron Nitride, Allantoin, Parfum (Fragrance), Dunaliella Salina Extract, Phoenix Dactylifera (Date) Fruit Extract,Propylene Glycol, Pentaearythrityl Tetra-Di-T-Butyl Hydrozyhycinnamate, Folic Acid, Geranoil, Citronellol, Coumarin, Alpha Isomethyl Ionone, Limonene, Linalool, Butylphenyl Methylpropional, Eugnol, Citral, Benzyl Alcohol, Benzyl Benzoate, Isoeugenol."
ACURE,Incredibly Clear Mattifying Moisturizer,Online Only,4,"Water, Aloe Barbadensis Leaf Juice*, Glyceryl Stearate Citrate, Cetearyl Alcohol, Glyceryl Caprylate, Helianthus Annuus (Sunflower) Oil, Carthamus Tinctorius (Safflower) Oil, Cetearyl Alcohol, Theobroma Cacao (Cocoa) Seed Butter, Cocoglycerides, Glycerin, Sodium Levulinate, Potassium Sorbate, Glyceryl Laurate, Tocopherol, Olea Europaea (Olive) Fruit Oil, Calendula Officinalis Flower Extract, Tocopheryl Acetate (Vitamin E), Oenothera Biennis (Evening Primrose) Oil, Ubiquinone (Coq10), Argania Spinosa (Argan) Oil*, Syringa Vulgaris Meristem Culture (Lilac), Marrubium Vulgare Meristem Cell Culture, Echinacea Agustifolia Meristem Cell Culture, Chlorella Pyrenoidosa Extract, Euterpe Oleracea Fruit (Acai) Extract*, Rubus Fruticosus (Blackberry) Extract*, Punica Granatum (Pomegranate) Extract*, Rosa Canina Fruit (Rosehip) Extract*, Calendula Officinalis Flower Extract*, Chamomilla Recutita (Matricaria) Flower Extract*, Aspalathus Linearis Leaf (Rooibos) Extract*.

*Certified Organic Ingredient"
Alpha Skin Care,Essential Renewal Lotion,Online Only,4.4,"Water, Glycolic Acid, Ammonium Hydroxide, Glyceryl Stearate-PEG-100 Stearate, Propylene Glycol, PEG-40 Stearate, Sorbitan Stearate, Cetyl Alcohol, Isopropyl Palmitate, Tocopheryl Acetate (Vitamin E), Petrolatum, Dimethicone, Myristyl Myristate, Stearic Acid, Magnesium Aluminum Silicate, Cellulose Gum, Sorbic Acid, BHT, Imidazolidinyl Urea."
L'Oréal,Anti-Sagging and Ultra Hydrating Day Cream with Dermo-Peptide SPF 15,"Sale Price
$14.39
Original Price
$17.99",4.3,"Active: Ensulizole (1.7%), Octinoxate (7.5%).

Inactive: Water, Cyclopentasiloxane, Glycerin, Mineral Oil, Myristyl Myristate, Stearic Acid, Triethanolamine, Palmitic Acid, Ammonium Polyacryloyldimethyl Taurate, Titanium Dioxide, PEG-100 Stearate, Glyceryl Stearate, Mannitol, PEG-20 Stearate, Stearyl Alcohol, Phenoxyethanol, Tocopheryl Acetate, Panthenol, Cetyl Alcohol, Capryloyl Salicylic Acid, Acrylates Copolymer, Butylene Glycol, Alumina, Cyclodextrin, Yeast Extract, Soluble Collagen, Disodium Succinate, Scutellaria Baicalensis Root Extract, Morus Bombycis Root Extract, Diazolidinyl Urea, Methylparaben, Butylparaben, Disodium EDTA, Fragrance."
Morphe,Morphe 2 Total Softie Gel Moisturizer,Only at Ulta Beauty,4,"Water (Aqua, Eau), Caprylic/Capric Triglyceride, Squalane, Dicaprylyl Carbonate, Propanediol, Dimethicone, 1,2-Hexanediol, Simmondsia Chinensis (Jojoba) Seed Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Aloe Barbadensis Leaf Juice, Niacinamide, Cucumis Sativus (Cucumber) Fruit Water, Citrus Aurantium Amara (Bitter Orange) Flower Water, Phenoxyethanol, Dimethiconol, Lysolecithin, Sclerotium Gum, Polyisobutene, Sodium Hydroxide, Ethylhexylglycerin, Disodium EDTA, Glycine Soja (Soybean) Sterols, Linoleic Acid, Phospholipids, Pullulan, Xanthan Gum, PEG-7 Trimethylolpropane Coconut Ether, Sodium Hyaluronate, Hyaluronic Acid, Sorbitan Isostearate, Polysorbate 60, Ricinus Communis (Castor) Seed Oil, Citric Acid, Potassium Sorbate, Sodium Benzoate, Silica, Tocopherol, Leuconostoc/Radish Root Ferment Filtrate, Fragrance (Parfum), Hexyl Cinnamal, Hydroxycitronellal, Linalool, Limonene, Benzyl Benzoate. May Contain: Blue 1 (CI 42090), Violet 2 (CI 60725)."
Fourth Ray Beauty,Good Mood Gel Moisturizer,Only at Ulta Beauty,4.2,"Water, Glycerin, Dimethicone, Rosa Damascena Flower Water, PPG-12/Smdi Copolymer, Caprylic/Capric Triglyceride, Arginine, Citrullus Vulgaris (Watermelon) Fruit Extract, Cucumis Melo (Melon) Fruit Extract, Sodium Hyaluronate, Althea Officinalis Root Extract, Pyrus Malus (Apple) Fruit Extract, Camellia Sinensis Leaf Extract, Prunus Armeniaca (Apricot) Fruit Extract, Mangifera Indica (Mango) Fruit Extract, Calendula Officinalis Flower Extract, Cucumis Sativus (Cucumber) Fruit Extract, Jasminum Officinale (Jasmine) Flower/Leaf Extract, Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract, Citrus Paradisi (Grapefruit) Fruit Extract, Citrus Grandis (Grapefruit) Peel Extract, Citrus Tangerina (Tangerine) Peel Extract, Citrus Clementina Fruit Extract, Citrus Aurantium Dulcis (Orange) Peel Extract, Citrus Limon (Lemon) Peel Extract, Citrus Aurantifolia (Lime) Peel Extract, Coffea Arabica (Coffee) Leaf/Seed Extract, Glycine Soja (Soybean) Extract, Mentha Viridis (Spearmint) Extract, Canaga Odorata Flower Extract, Juniperus Virginiana Wood Extract, Salicornia Herbacea Extract, Quartz, Tocopherol, Carbomer, Dimethicone/Vinyl Dimethicone Crosspolymer, Trisodium EDTA, Ethylhexylglycerin, Caprylyl Glycol, Hexylene Glycol, Potassium Sorbate, Citric Acid, Decyl Glucoside, Lauryl Glucoside, Phenoxyethanol, Red 4 (CI 14700)."
BeautyBio,The Quench Rapid Recovery Cream,"Price
$125.00",4.6,"Water, Dimethicone, Hydrogenated Polyisobutene, Glycerin, C12-15 Alkyl Benzoate, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Bis-Peg-18 Methyl Ether Dimethyl Silane, Sodium Lauroyl Lactylate, Isododecane, Beeswax (Cera Alba), Dimethicone/Peg-10/15 Crosspolymer, Lauryl Peg-9 Polydimethylsiloxyethyl Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Butylene Glycol, Phytosphingosine, Ceramide Ng, Ceramide Ap, Cholesterol, Ceramide Np, Palmitoyl Hexapeptide-12, Ceramide Eop, Tribehenin, Peg/Ppg-18/18 Dimethicone, Peg-10 Dimethicone,Disteardimonium Hectorite, Disodium Edta, Sodium Chloride, Phenoxyethanol, Silica, Carbomer, Propylene Carbonate, Xanthan Gum, Fragrance, Peg-10 Rapeseed Sterol, Benzoic Acid, Sorbic Acid, Chlorphenesin, Lactic Acid, Dipropylene Glycol, Ethylhexylglycerin, Tocopherol."
e.l.f. Cosmetics,50 MG CBD Moisturizer,"Sale Price
$10.50
Original Price
$15.00",4.3,"50 mg CBD

Water, Caprylic/Capric Triglyceride, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin, Polyacrylate Crosspolymer-6, Cannabidiol, PCR Hemp Oil, Cannabis Sativa (Hemp) Seed Oil, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Sodium Hyaluronate, Cucumis Sativus (Cucumber) Fruit Extract, Disodium EDTA, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Butylene Glycol, Carbomer, Polysorbate 20, Fragrance, Phenoxyethanol, Ethylhexylglycerin.

Contains less than 0.3% THC"
ArtNaturals LUXE,Brightening Cream,"Sale Price
$11.89
Original Price
$16.99",5,"Water, Glycerin, Dicaprylyl Carbonate, Squalene, Octyl dodecyl Myristate, C20-22 Alkyl Phosphate, C20-22 Alcohols, caprylic/Capric Triglyceride, Simmondsia Chinensis(Jojoba) Seed Oil, Niacinamide, Centella Asiatica Extract, Ginkgo Biloba Leaf Extract, Arnica Montana Flower Extract, Macrocystis Pyrifera(kelp) Extract, Saccharide Isomerate, Phenoxyethanol, Ethylhexylglycerin, Xanthan Gum, Carbomer, Sodium Hyaluronate, Tocopherol, Bisabolol, Sodium Hydroxide, Sodium Phytate (and) Water, Potassium Sorbate, Sodium Benzoate, Caramel, Simmondsia Chinensis (Jojoba) Seed Oil, Fragrance, Mica, Titanium Dioxide, Tin Oxide, Citric Acid, Sodium Citrate."
L'Oréal,Age Perfect Cell Renewal Rosy Tone Moisturizer,"Price
$24.99",4.4,"Aqua/Water, Squalane, Cyclohexasiloxane, Glycerin, Cetyl Alcohol, Glyceryl Stearate, Peg-40 Stearate, Paraffinum Liquidum/Mineral Oil, Myristyl Myristate, Pentaerythrityl Tetraethylhexanoate, Octyldodecanol, Sorbitan Tristearate, Butylene Glycol, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Phenoxyethanol, Synthetic Fluorphlogopite, Ci 77891/Titanium Dioxide, Isohexadecane, Capryloyl Salicylic Acid, Acrylonitrile/Methyl Methacrylate/Vinylidene Chloride Copolymer, Mannitol, Methylparaben, Ascorbyl Glucoside, Parfum/Fragrance, Chlorphenesin, Stearyl Alcohol, Myristyl Alcohol, Mica, Polysorbate 80, Paeonia Albiflora Root Extract, Disodium Edta, Ci 77163/Bismuth Oxychloride, Ci 77491/Iron Oxides, Hydrolyzed Cicer Seed Extract, Sorbitan Oleate, Isobutane, Sodium Hydroxide, Iris Florentina Root Extract, Vigna Aconitifolia Seed Extract, Cyclodextrin, Sodium Cocoyl Glutamate, Faex Extract/Yeast Extract, Hexyl Cinnamal, Tin Oxide, Benzyl Alcohol, Hydroxycitronellal, Benzyl Salicylate, Linalool, Citronellol, Limonene, Geraniol, Alpha-Isomethyl Ionone, Disodium Succinate, F.I.L. # D191503/1."
Avène,CleananceHYDRA Soothing Cream,Online Only,4.8,"Avène Thermal Spring Water, Carthamus tinctorius (safflower) Seed Oil, Caprulic/ capric Triglyceride, Dimethicone, PEG-12, butylene Glycol, Glycerin, 1,2-hexanediol, glyceryl Stearate, PEG -100 Stearate, Cetyl alcohol, Glyceryl Linoleate, Acrylates/c10-30 alkyl Acrylate Crosspolymer, Benzoic Acid, fragrance, Glyceryl Linolenate, Glyceryl oleate, Glyceryl Palmitate, Glycine Soja (soybean) oil, Sodium Dextran Sulfate, Sodium Hydroxide, tocopherol, Tocopheryl Actetate, Xanthan gum."
Mario Badescu,A.H.A. & Ceramide Moisturizer,"Price
$20.00",4.5,"Aqua (Water, Eau), Propylene Glycol, Glycerin, Cyclopentasiloxane, Squalane, Glyceryl Stearate, Isopropyl Myristate, Dimethicone, Aloe Barbadensis Leaf Extract, Paraffinum Liquidum (Mineral Oil, Huile Minérale), Aloe Barbadensis Leaf Juice, Cymbopogon Schoenanthus Leaf Extract, Citrus Limon (Lemon) Fruit Extract, Glycolipids, Stearic Acid, Myristyl Lactate, Cetearyl Alcohol, Dimethiconol, Ethylhexyl Cocoate, Cetyl Alcohol, Ceteareth-20, Myristyl Alcohol, Glyceryl Acrylate/Acrylic Acid Copolymer, Caprylyl Glycol, Lecithin, Phenyl Trimethicone, Phenoxyethanol, Sodium Chloride, Triethanolamine, Methylparaben, Propylparaben, Diazolidinyl Urea, CI 19140 (Yellow 5), CI 15985 (Yellow 6)"
